project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
rzwitserloot/lombok,41,0.0,0.0,0.0,0.010447761194029851,0.010447761194029851,0.0,0.003980099502487562,0.0,0.0,0.0,0.0
rzwitserloot/lombok,45,0.0,0.0,0.0,0.022598870056497175,0.022598870056497175,0.0022598870056497176,0.005649717514124294,0.0,0.0,0.0,0.0
rzwitserloot/lombok,47,0.0,0.0,,0.013944223107569721,0.013944223107569721,0.00398406374501992,0.021912350597609563,0.0,0.0,0.0,0.0
rzwitserloot/lombok,50,0.0,0.0,0.0,0.026381909547738693,0.026381909547738693,0.000628140703517588,0.034634760705289674,0.0,0.0,0.0,0.0
rzwitserloot/lombok,55,0.0,0.0,0.0,0.018909899888765295,0.018909899888765295,0.04839650145772595,0.04171301446051168,0.0,0.0,0.0,0.0
rzwitserloot/lombok,60,0.0,0.0,0.0,0.007395668251452721,0.007395668251452721,0.0005282620179609086,0.016904384574749076,0.0,0.0,0.0,0.0
rzwitserloot/lombok,62,0.04954367666232073,0.01631116687578419,,0.02258469259723965,0.05004812319538017,0.04954367666232073,,0.011292346298619825,0.011292346298619825,0.011292346298619825,0.0
rzwitserloot/lombok,67,0.0,0.0,0.0,0.005420054200542005,0.005420054200542005,0.0,0.029850746268656716,0.0,0.0,0.0,0.0
rzwitserloot/lombok,70,0.0,0.0,0.0,0.021139705882352942,0.021139705882352942,0.0,0.013786764705882353,0.0,0.0,0.0,0.0
rzwitserloot/lombok,72,0.0,0.0,0.0,0.0472972972972973,0.0472972972972973,0.0,0.04054054054054054,0.0,0.0,0.0,0.0
rzwitserloot/lombok,76,0.0,0.0,0.0,0.019363762102351315,0.019363762102351315,0.020869799380638213,0.014347450302506483,0.0,0.00034578146611341634,0.0,0.0
voldemort/voldemort,2,0.0,0.0,0.0,0.007473841554559043,0.007473841554559043,0.0,0.007473841554559043,0.0,0.0,0.0,0.0
voldemort/voldemort,10,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.02033492822966507,0.0,0.0,0.0,0.0
voldemort/voldemort,14,0.0,0.0,0.0,0.00995732574679943,0.00995732574679943,0.010340775558166862,0.008179231863442389,0.0,0.0,0.0,0.0
voldemort/voldemort,17,0.0,0.0,0.0,0.002059025394646534,0.002059025394646534,0.0,0.0061770761839396015,0.0,0.0,0.0,0.0
voldemort/voldemort,21,0.003385049365303244,0.0,,0.019133370849746763,0.019133370849746763,0.0016896648831315122,0.051209904333145755,0.0,0.0019707207207207205,0.0039392234102419805,0.0
voldemort/voldemort,31,0.051991150442477874,0.053156146179401995,,0.0586283185840708,0.0586283185840708,0.05088495575221239,0.061946902654867256,0.049778761061946904,0.049778761061946904,0.046460176991150445,0.0
voldemort/voldemort,33,0.004132231404958678,0.001375515818431912,0.0,0.006868131868131868,0.006868131868131868,0.0,0.024725274725274724,0.0,0.0013736263736263737,0.0,0.0
voldemort/voldemort,37,0.0,0.0,0.0,0.007547169811320755,0.007547169811320755,0.0,0.006289308176100629,0.0,0.0,0.0,0.0
voldemort/voldemort,42,0.0,0.0,0.0,0.018313253012048194,0.018313253012048194,0.0,0.010120481927710843,0.0,0.0,0.0,0.0
voldemort/voldemort,47,0.0,0.0,,0.011049723756906077,0.011049723756906077,0.01122394441475147,0.007892659826361484,0.0,0.0,0.0,0.0
voldemort/voldemort,50,0.0,0.0,,0.0,0.0,0.0018975332068311196,0.058823529411764705,0.0,0.0,0.0,0.0
voldemort/voldemort,52,0.0,0.0,0.0,0.003787878787878788,0.003787878787878788,0.0,0.007575757575757576,0.0,0.0,0.0,0.0
voldemort/voldemort,55,0.0,0.0,0.0,0.018168604651162792,0.018168604651162792,0.0,0.007267441860465116,0.0,0.0007267441860465116,0.0,0.0
voldemort/voldemort,62,0.0011961722488038277,0.0,0.0011961722488038277,0.010752688172043012,0.010752688172043012,0.004784688995215311,0.0011947431302270011,0.0,0.0,0.0,0.0
voldemort/voldemort,73,0.06666666666666667,0.02127659574468085,,0.0,0.0,0.06666666666666667,0.0625,0.0,0.0,0.0,0.0
voldemort/voldemort,75,0.01344364012409514,0.0010214504596527069,,0.029015544041450778,0.029015544041450778,0.002044989775051125,0.06128702757916241,0.0010214504596527069,0.0010214504596527069,0.0010214504596527069,0.0
voldemort/voldemort,77,0.0,0.0,0.0,0.007556675062972292,0.007556675062972292,0.0,0.06329113924050633,0.0,0.0,0.0,0.0
voldemort/voldemort,97,0.0,0.0,0.0,0.027142857142857142,0.027142857142857142,0.0,0.007142857142857143,0.0,0.0,0.0,0.0
voldemort/voldemort,101,0.0,0.0,0.0,,,0.0,0.00533249686323714,0.0,0.0,0.0,0.0
voldemort/voldemort,112,0.0006949270326615705,0.0,0.0,0.018068102849200834,0.018068102849200834,0.0006949270326615705,0.010423905489923557,0.0,0.0006949270326615705,0.0,0.0
voldemort/voldemort,113,0.0,0.0,0.0,0.068359375,0.068359375,0.015625,0.009765625,0.0,0.0,0.0,0.0
voldemort/voldemort,116,0.012468827930174564,0.012468827930174564,0.012468827930174564,0.014456630109670987,0.014456630109670987,0.012468827930174564,0.05139720558882235,0.012468827930174564,0.012468827930174564,0.012468827930174564,0.0
voldemort/voldemort,125,0.019319368084069873,0.01972191679772857,0.0024913419024543823,0.02201541773734287,0.008094781536775784,0.004873240979028637,,0.004760859424306451,0.009508498564106791,0.003805247957074613,0.0
voldemort/voldemort,141,0.019822282980177717,0.01912568306010929,,0.03980782429649966,0.03980782429649966,0.03178991015894955,0.04008152173913043,0.019822282980177717,0.06132404181184669,0.01358695652173913,0.0
voldemort/voldemort,151,0.04450378282153983,0.0,0.0,0.017221249270286048,0.029725829725829725,0.0,0.017619872905834777,0.0,0.0002886836027713626,0.0,0.0
voldemort/voldemort,157,0.0,0.0,,0.02225130890052356,0.02225130890052356,0.0058900523560209425,0.01963350785340314,0.0,0.0,0.0,0.0
voldemort/voldemort,162,0.0,0.0,,0.000855431993156544,0.000855431993156544,0.0,0.000855431993156544,0.0,0.0,0.0,0.0
voldemort/voldemort,167,0.031762295081967214,0.031762295081967214,0.031762295081967214,0.037871033776867964,0.037871033776867964,0.031762295081967214,0.0389344262295082,0.031762295081967214,0.031762295081967214,0.031762295081967214,0.0
voldemort/voldemort,173,0.4230769230769231,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.23711340206185566,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.0
voldemort/voldemort,183,0.03930635838150289,0.04728950403690888,0.13519553072625698,0.21372328458942633,0.21372328458942633,0.03930635838150289,0.048554913294797684,0.03815028901734104,0.03699421965317919,0.03699421965317919,0.0
voldemort/voldemort,186,0.0,0.0,0.0,0.00847457627118644,0.00847457627118644,0.0,0.006342494714587738,0.0,0.0,0.0,0.0
voldemort/voldemort,190,0.15715823466092574,0.38276553106212424,0.15715823466092574,0.1721132897603486,0.1721132897603486,0.15591397849462366,0.2041036717062635,0.15715823466092574,0.15715823466092574,0.15715823466092574,0.0
voldemort/voldemort,191,0.00938337801608579,0.0,,,0.037848605577689244,0.011788826242952332,0.023458445040214475,0.00938337801608579,0.003997335109926716,0.0,0.0
voldemort/voldemort,194,0.0,0.0,0.0,0.019169329073482427,0.019169329073482427,0.009584664536741214,0.012779552715654952,0.0,0.0,0.0,0.0
voldemort/voldemort,201,0.0,0.0,,0.02026554856743536,0.02026554856743536,0.0,0.11949685534591195,0.0,0.0,0.0,0.0
voldemort/voldemort,207,0.0,0.0,0.0,0.007804878048780488,0.007804878048780488,0.0,0.001951219512195122,0.0,0.0,0.0,0.0
voldemort/voldemort,213,0.0,0.0,0.0,0.004628099173553719,0.004628099173553719,0.0,0.0,0.0,0.0,0.0,0.0
voldemort/voldemort,215,0.0015128593040847202,0.0015128593040847202,0.0015128593040847202,0.009077155824508321,0.009077155824508321,0.0030257186081694403,0.01059001512859304,0.0,0.0015128593040847202,0.0,0.0
voldemort/voldemort,217,0.0,0.0,,0.0037854889589905363,0.0037854889589905363,0.0,0.005047318611987382,0.0,0.0,0.0,0.0
voldemort/voldemort,219,0.0,0.0,0.0,0.017837235228539576,0.017837235228539576,0.0011148272017837235,0.002229654403567447,0.0,0.0,0.0,0.0
voldemort/voldemort,220,0.0,0.0,0.0,0.001734304543877905,0.001734304543877905,0.000346860908775581,0.022892819979188347,0.0,0.0,0.0,0.0
voldemort/voldemort,222,0.0,0.0,0.0,0.00248015873015873,0.00248015873015873,0.0,0.001984126984126984,0.0,0.0,0.0,0.0
voldemort/voldemort,225,0.0,0.0,,0.006166495375128468,0.006166495375128468,0.003083247687564234,0.011305241521068859,0.0,0.0,0.0,0.0
voldemort/voldemort,230,0.0,0.0,0.0,0.005389221556886228,0.005389221556886228,0.0,0.008383233532934131,0.0,0.0,0.0,0.0
voldemort/voldemort,232,0.057203389830508475,0.02040816326530612,0.057203389830508475,0.08898305084745763,0.03413654618473896,0.0613107822410148,0.057203389830508475,0.057203389830508475,0.057203389830508475,0.057203389830508475,0.0
