project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
elastic/elasticsearch,2,0.0014262199401855469,0.0540013313293457,,4.7030348777771,6.789217948913574,1.2631802558898926,6.283613681793213,0.07038736343383789,2.8814384937286377,0.5377767086029053
elastic/elasticsearch,32,0.009611129760742188,0.07826614379882812,,3.800675392150879,5.558145523071289,1.1492204666137695,7.216204404830933,0.017362594604492188,2.261514186859131,1.5844595432281494
elastic/elasticsearch,39,0.0026035308837890625,0.04209709167480469,0.8414654731750488,5.449983835220337,6.294144153594971,0.8690249919891357,5.385138034820557,0.03500843048095703,2.349503755569458,0.8637731075286865
elastic/elasticsearch,55,0.007740497589111328,0.11255884170532227,1.7515602111816406,2.9854021072387695,3.4383459091186523,1.339533805847168,5.309776067733765,0.0321810245513916,1.8743414878845215,0.3409452438354492
elastic/elasticsearch,146,0.0014302730560302734,0.05798077583312988,,2.9686496257781982,2.9832077026367188,1.2750000953674316,5.5738890171051025,0.04150104522705078,1.9407670497894287,0.3176703453063965
elastic/elasticsearch,182,0.005308628082275391,0.057781219482421875,,3.3437819480895996,3.5443570613861084,0.5382606983184814,5.305990934371948,0.032857418060302734,2.1239821910858154,0.38939571380615234
elastic/elasticsearch,183,0.0007350444793701172,0.02289891242980957,,0.5383150577545166,0.6774799823760986,0.582129955291748,2.5398857593536377,0.007889747619628906,0.40656018257141113,0.14667224884033203
elastic/elasticsearch,253,0.0007083415985107422,0.024564504623413086,0.5844838619232178,1.3049051761627197,1.1260261535644531,0.712085485458374,1.3269453048706055,0.01609635353088379,1.4804706573486328,0.12100696563720703
elastic/elasticsearch,297,0.003257274627685547,0.11214303970336914,,15.457923412322998,17.98935580253601,2.1229608058929443,6.903504133224487,0.07692360877990723,2.6418607234954834,1.5907931327819824
elastic/elasticsearch,363,0.004800081253051758,0.05437159538269043,3.1668460369110107,3.9013824462890625,3.841214179992676,0.7124292850494385,5.480267524719238,0.022504806518554688,2.4707143306732178,0.5247528553009033
elastic/elasticsearch,374,0.001859903335571289,0.0555419921875,1.7388606071472168,2.040278673171997,3.2365505695343018,0.7639439105987549,4.311847686767578,0.03754377365112305,1.8498725891113281,0.3729252815246582
elastic/elasticsearch,385,0.0025064945220947266,0.05005908012390137,3.6742899417877197,5.866024494171143,4.990530490875244,2.0981156826019287,9.761107683181763,0.11412596702575684,3.1718428134918213,1.3337864875793457
elastic/elasticsearch,403,0.0013668537139892578,0.07564735412597656,2.420642137527466,2.8616490364074707,3.434271812438965,0.25183701515197754,5.068263530731201,0.027800798416137695,1.4768052101135254,0.2921030521392822
elastic/elasticsearch,411,0.0008096694946289062,0.026956796646118164,0.7799854278564453,1.908658742904663,2.3759658336639404,0.4394114017486572,0.960137128829956,0.02977132797241211,0.5311007499694824,0.32315707206726074
elastic/elasticsearch,414,0.0007927417755126953,0.025264501571655273,1.1798937320709229,1.2065684795379639,1.1989011764526367,0.7411425113677979,3.8270907402038574,0.021645069122314453,0.6636641025543213,0.24068498611450195
elastic/elasticsearch,469,0.0011167526245117188,0.05800008773803711,2.378573179244995,1.877185344696045,1.5472636222839355,0.8086135387420654,2.9771933555603027,0.026909351348876953,1.5630748271942139,0.2895331382751465
elastic/elasticsearch,476,0.0027129650115966797,0.06279253959655762,,7.276803255081177,7.567990303039551,1.9058771133422852,7.019416570663452,0.09309601783752441,3.6932528018951416,1.7526352405548096
elastic/elasticsearch,515,0.0007944107055664062,0.025864362716674805,0.6209757328033447,3.190920114517212,1.526165246963501,0.6942474842071533,2.0858678817749023,0.018986940383911133,2.1120498180389404,0.19109845161437988
elastic/elasticsearch,544,0.002244710922241211,0.06483674049377441,4.34682297706604,5.26862907409668,4.805842876434326,1.372563123703003,5.353216648101807,0.09683418273925781,2.7056243419647217,0.6129238605499268
elastic/elasticsearch,550,0.0038764476776123047,0.11380410194396973,2.551405429840088,3.4137256145477295,2.7520997524261475,1.0681755542755127,4.7123799324035645,0.03415966033935547,2.4029669761657715,0.5807178020477295
elastic/elasticsearch,566,0.0007724761962890625,0.023165464401245117,0.8580069541931152,1.0746345520019531,1.1027095317840576,0.3549463748931885,4.079027891159058,0.009933710098266602,0.5198249816894531,0.1858053207397461
elastic/elasticsearch,575,0.0007071495056152344,0.03623676300048828,0.6151573657989502,1.0946707725524902,1.4389996528625488,0.31676411628723145,2.9960544109344482,0.007882118225097656,0.6756892204284668,0.1405184268951416
elastic/elasticsearch,593,0.0011725425720214844,0.025634765625,2.6058528423309326,1.5488431453704834,2.126819372177124,0.9793717861175537,4.837648868560791,0.02108025550842285,2.014163017272949,0.27750706672668457
elastic/elasticsearch,594,0.0016674995422363281,0.04363751411437988,,2.6521167755126953,3.1250016689300537,1.1980125904083252,5.346682786941528,0.05445098876953125,2.287282705307007,0.6879756450653076
elastic/elasticsearch,680,0.0011248588562011719,0.10912370681762695,15.857129335403442,7.190215349197388,6.7093446254730225,2.525669574737549,14.177921772003174,0.23294949531555176,3.829038619995117,3.848611354827881
elastic/elasticsearch,713,0.0028536319732666016,0.15967702865600586,7.266470909118652,6.291891098022461,5.694899320602417,1.5735161304473877,6.469783306121826,0.03237795829772949,1.9074840545654297,0.933732271194458
google/ExoPlayer,14,0.003402233123779297,0.0787503719329834,3.238011360168457,4.795347690582275,5.484257698059082,1.276984691619873,7.790130376815796,0.0968165397644043,2.9442265033721924,0.8026926517486572
