project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
apache/dolphinscheduler,235,0.002354145050048828,0.10892105102539062,,5.3339643478393555,5.532478332519531,1.3743610382080078,5.207155227661133,0.01216578483581543,2.0266594886779785,0.5892586708068848
apache/shardingsphere,568,0.0037908554077148438,0.05769968032836914,,3.513249397277832,2.537222385406494,0.9703943729400635,3.7667734622955322,0.011213302612304688,1.9055101871490479,0.6064181327819824
bisq-network/bisq,152,0.0012335777282714844,0.07971453666687012,3.1281821727752686,4.206254005432129,4.20509147644043,1.0479025840759277,4.445062875747681,0.06144142150878906,1.9063687324523926,0.6140804290771484
bisq-network/bisq,163,0.0008072853088378906,0.028487443923950195,1.536076307296753,1.188896656036377,1.334263801574707,0.2857341766357422,1.9950573444366455,0.0034563541412353516,1.4546704292297363,0.3823413848876953
bisq-network/bisq,476,0.002500772476196289,0.09605264663696289,,9.239708423614502,10.15660548210144,1.9646601676940918,9.249751091003418,0.023535490036010742,3.4144399166107178,2.0302793979644775
bisq-network/bisq,806,0.0019693374633789062,0.023990631103515625,2.71022629737854,1.7024214267730713,2.1729609966278076,1.3192646503448486,3.083451986312866,0.01702880859375,1.244326114654541,0.34929776191711426
bisq-network/bisq,924,0.003528594970703125,0.08742952346801758,4.1624181270599365,8.818714618682861,8.140693426132202,1.5497725009918213,,0.1599287986755371,3.4058094024658203,4.009828329086304
bisq-network/bisq,1062,0.00528264045715332,0.07477998733520508,2.048436164855957,4.23905348777771,4.936459302902222,0.36586666107177734,5.92415714263916,0.013451099395751953,2.0942494869232178,1.1919794082641602
cBioPortal/cbioportal,322,0.007265329360961914,0.15523648262023926,4.102356195449829,6.9711594581604,9.036588191986084,0.9929943084716797,9.245753288269043,0.03844428062438965,3.7270700931549072,2.5018677711486816
cBioPortal/cbioportal,382,0.0031888484954833984,0.06367969512939453,2.9803855419158936,3.4188058376312256,2.2571239471435547,0.6417896747589111,5.019907474517822,0.03534197807312012,1.3803691864013672,0.5015420913696289
citrusframework/citrus,42,0.0021021366119384766,0.02697443962097168,0.6785447597503662,2.530982494354248,2.1104698181152344,0.5253496170043945,5.045644044876099,0.009310722351074219,1.1948049068450928,0.2608621120452881
elastic/elasticsearch,264,0.0012488365173339844,0.13794159889221191,,18.344075679779053,18.46151328086853,2.6775407791137695,11.308026313781738,0.03443789482116699,3.8103160858154297,3.0015807151794434
elastic/elasticsearch,297,0.008147478103637695,0.13957786560058594,6.9695351123809814,12.844311952590942,14.15579342842102,4.799439430236816,16.479265689849854,0.04277539253234863,5.840791702270508,3.315641403198242
elastic/elasticsearch,484,0.006882429122924805,0.06787753105163574,1.4900085926055908,3.2927846908569336,3.8619353771209717,0.5637249946594238,5.884652376174927,0.01086568832397461,1.6236445903778076,1.3330042362213135
