project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
apache/cassandra,611,0.17849016189575195,,11.99014401435852,12.958197116851807,6.673480987548828,19.127532720565796,0.6486523151397705,7.670801401138306,4.881119251251221
apache/cassandra,655,0.25267839431762695,3.7702622413635254,21.66872525215149,22.611983060836792,2.9060511589050293,12.095384120941162,0.3135643005371094,5.194145679473877,3.8646857738494873
apache/cassandra,684,0.22569823265075684,,17.761560440063477,17.959246158599854,3.3836944103240967,16.029457330703735,0.30808115005493164,4.600180149078369,3.7682769298553467
apache/cassandra,704,0.308260440826416,4.593136548995972,10.064691066741943,9.452742576599121,2.1399247646331787,9.174898624420166,0.5202300548553467,4.310917854309082,5.105722904205322
apache/cassandra,708,0.06243252754211426,,2.9109814167022705,4.6148762702941895,0.4429764747619629,5.4522621631622314,0.0628812313079834,1.5334649085998535,0.8747363090515137
apache/cassandra,733,0.09071683883666992,,5.1538355350494385,5.901268482208252,4.322952747344971,9.146737813949585,0.08732438087463379,3.3077046871185303,1.4931762218475342
apache/cassandra,741,0.024606943130493164,0.5054690837860107,0.4994699954986572,0.4663867950439453,0.3403923511505127,0.8638279438018799,0.009781837463378906,0.3290140628814697,0.12464690208435059
apache/cassandra,761,0.029792308807373047,1.728482961654663,0.8798630237579346,0.8222696781158447,1.3993699550628662,5.969050645828247,0.05324721336364746,2.487220048904419,0.5826458930969238
apache/cassandra,764,0.4050769805908203,,18.894866466522217,,12.082670211791992,23.672345638275146,0.4227893352508545,9.60444688796997,12.808141708374023
apache/cassandra,779,0.031239748001098633,,0.9491984844207764,0.6803951263427734,0.5240068435668945,2.041975259780884,0.014161825180053711,1.0230622291564941,0.30503225326538086
apache/cassandra,808,0.0294649600982666,,1.2764790058135986,0.8298404216766357,0.791388988494873,1.594888687133789,0.02582240104675293,0.42290163040161133,0.29776835441589355
apache/cassandra,879,0.21781539916992188,,27.555917501449585,27.120184183120728,10.828914880752563,28.910154104232788,0.7143058776855469,9.167773246765137,9.667075395584106
apache/cassandra,911,0.08400273323059082,,4.313477993011475,4.279271602630615,3.5984740257263184,,0.1068875789642334,2.3900132179260254,1.5411529541015625
apache/cassandra,957,0.10886764526367188,4.157022476196289,5.001992225646973,5.638181924819946,1.0940816402435303,6.655189275741577,0.06209397315979004,2.3395700454711914,0.7880005836486816
apache/cassandra,976,0.05010676383972168,2.8525478839874268,5.232886552810669,4.713727712631226,2.582259178161621,7.991566896438599,0.1027376651763916,3.3665151596069336,0.6217021942138672
apache/cassandra,986,0.12582874298095703,2.8785102367401123,6.761982440948486,6.5850090980529785,1.1430141925811768,6.306001663208008,0.28257131576538086,4.419912099838257,2.440927267074585
apache/storm,6,0.07952666282653809,0.9826393127441406,2.245487689971924,3.3704943656921387,0.9951448440551758,2.716217041015625,0.07544612884521484,1.857788324356079,0.40561842918395996
