project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
antlr/antlr4,164,0.9966666666666667,0.9966666666666667,0.9367521367521368,0.9367521367521368,0.9899328859060402,0.9676375404530745,0.9966666666666667,0.9966666666666667,0.9966666666666667,1.0
apache/cassandra,12,0.9971671388101983,0.9827751196172249,0.9848341232227488,0.9848341232227488,0.982791586998088,,0.9981132075471698,0.979047619047619,0.9981132075471698,1.0
apache/cassandra,36,1.0,,0.9845328933800783,0.9845328933800783,0.9987484355444305,0.9917184265010351,1.0,1.0,1.0,1.0
apache/cassandra,51,0.9708483458892893,0.9815910585141354,0.9586942038640907,0.9586942038640907,0.9838550247116968,0.9805473128915265,0.9293375394321767,0.8547008547008547,0.9842105263157894,1.0
apache/cassandra,61,1.0,0.9953584321815369,0.9882232462877624,0.9882232462877624,0.994332818134982,0.9796954314720813,0.9953584321815369,1.0,1.0,1.0
apache/cassandra,62,0.40021504894603616,,0.9725724397257244,0.971605347475417,0.9982629609834314,0.9955141017099711,0.9991985752448798,0.9985299358517462,0.9923003528080414,1.0
apache/cassandra,90,1.0,,0.9950284090909091,0.9950284090909091,0.9880028228652082,0.9964463397299218,1.0,1.0,1.0,1.0
apache/cassandra,113,0.7847011952191235,,,,0.9784040031603898,0.9777661522364635,0.9908256880733946,0.9819175230909327,0.9783776700301402,1.0
apache/cassandra,165,0.9669649002064694,,0.9616700889801506,0.9366736256089074,0.9687607277720564,,0.9600273317389819,0.9690934065934066,0.9735054347826086,1.0
apache/cassandra,231,0.954468802698145,0.998389694041868,0.998389694041868,0.998389694041868,0.998389694041868,0.992,0.954468802698145,0.998389694041868,0.998389694041868,1.0
apache/cassandra,276,0.9564097058191969,,0.9569293876355113,0.9391612522150029,0.959622752726201,,0.9373313343328336,0.8785778849050919,0.9337748344370861,1.0
apache/cassandra,282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
