project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,286,0.0,,0.01264591439688716,0.01264591439688716,0.002926829268292683,0.016569200779727095,0.001949317738791423,0.0009737098344693282,0.005836575875486381,0.0
apache/cassandra,321,0.02727272727272727,0.21515151515151515,0.22424242424242424,0.22424242424242424,0.22727272727272727,0.1484848484848485,0.21515151515151515,0.00909090909090909,0.15454545454545454,0.0
apache/cassandra,330,0.003421727972626176,0.030755711775043937,0.016253207869974338,0.016253207869974338,0.030755711775043937,0.01283147989734816,0.003421727972626176,0.022452504317789293,0.003421727972626176,0.0
apache/cassandra,339,0.1537544696066746,0.13256484149855907,0.15948275862068967,0.16091954022988506,0.13544668587896252,,0.13256484149855907,0.15007215007215008,0.09574468085106383,0.0
apache/cassandra,343,0.01514386673397274,,,0.043731778425655975,0.04038364462392731,0.03940388987117959,0.018425037859666836,0.017920242301867742,0.025996971226653204,0.0
apache/cassandra,367,0.004392386530014641,,,0.07899628252788105,0.12723845428840716,0.056691449814126396,0.04460966542750929,0.032527881040892194,0.0223463687150838,0.0
apache/cassandra,466,0.0,,0.018128844286176757,0.018128844286176757,0.005640019617459539,0.015544041450777202,0.0,0.13959484346224676,0.0,0.0
apache/cassandra,485,0.006524575902566333,,0.021295089091699262,0.021295089091699262,0.020228671943711522,0.016710642040457344,0.01003052769297863,0.06602953953084274,0.012603215993046502,0.0
apache/cassandra,490,0.028145695364238412,0.028145695364238412,0.0347682119205298,0.0347682119205298,0.028145695364238412,0.03906899418121363,0.04056291390728477,0.028145695364238412,0.028145695364238412,0.0
apache/cassandra,576,0.012459371614301192,0.012459371614301192,0.016793066088840736,0.04,0.016793066088840736,0.01950162513542795,0.012459371614301192,0.012459371614301192,0.018528610354223433,0.0
apache/cassandra,611,0.0,,0.01564945226917058,0.016543706684551754,0.0047085201793721975,0.02130522538685804,0.004247708473060586,0.00558909009613235,0.008718980549966466,0.0
apache/cassandra,655,0.026386404293381037,0.08305425318151373,0.09536662168241115,0.09064523331100692,0.06884219937416182,0.039544235924932974,0.06734006734006734,0.06363027461486939,0.0369452579409777,0.0
apache/cassandra,684,0.0,,0.011676608706688666,0.011676608706688666,0.0033753598729276283,0.012061960385982732,0.0,0.0,0.0,0.0
apache/cassandra,704,0.0011595547309833025,0.0,0.009036144578313253,0.009036144578313253,0.0004633920296570899,0.0,0.0,0.0,0.006255792400370714,0.0
apache/cassandra,708,0.06236559139784946,,0.08639308855291576,0.12946428571428573,0.04835164835164835,0.09782608695652174,0.03225806451612903,0.030107526881720432,0.05161290322580645,0.0
apache/cassandra,733,0.001971414489896501,,0.02617283950617284,0.02617283950617284,0.0049382716049382715,0.039486673247778874,0.001971414489896501,0.002465483234714004,0.0014785608674223755,0.0
apache/cassandra,741,0.07784431137724551,0.1069182389937107,0.10975609756097561,0.10778443113772455,0.1069182389937107,0.10062893081761007,0.10062893081761007,0.07784431137724551,0.07784431137724551,0.0
